,Unnamed: 0,Data,PRECIP. TOTAL (mm),PRESSÃO ATM. (mB),PRESSÃO MAX. (mB),PRESSÃO MIN. (mB),RADIAÇÃO GLOBAL (KJ/m²),TEMP. AR (°C),TEMP. ORVALHO (°C),TEMP. MÁX. (°C),TEMP. MÍN. (°C),TEMP. ORVALHO MAX. (°C),TEMP. ORVALHO MIN. (°C),UMID. REL. MAX. (%),UMID. REL. MIN. (%),UMID. REL. AR (%),DIREÇÃO VENTO (°),RAJADA VENTO (m/s),VEL. VENTO (m/s)
5062,5062,2015-11-11,0.0499999999999999,952.6791666666668,953.0291666666668,952.3541666666666,-4133.2625,26.3125,20.183333333333334,27.21666666666667,25.704166666666666,20.9875,19.495833333333334,73.66666666666667,64.20833333333333,69.41666666666667,147.83333333333334,4.004166666666666,1.8083333333333331
5063,5063,2015-11-12,0.4333333333333333,950.1666666666666,950.5291666666668,949.9166666666666,-3761.191666666667,26.575,20.216666666666665,27.55,25.59166666666667,20.995833333333334,19.5375,75.25,65.91666666666667,70.58333333333333,79.95833333333333,5.683333333333334,2.520833333333333
5064,5064,2015-11-13,0.0249999999999999,949.7708333333334,950.0791666666668,949.4125,-3568.8291666666664,27.891666666666666,19.8625,28.83333333333333,27.05,20.7125,19.1625,67.95833333333333,59.125,63.458333333333336,185.79166666666663,5.508333333333333,2.3916666666666666
5065,5065,2015-11-14,0.0,950.1416666666668,950.4375,949.9041666666668,-3468.8375,28.6375,18.9375,29.2625,27.875,19.65833333333333,18.241666666666667,60.875,53.5,56.66666666666666,139.625,5.129166666666666,2.1125000000000003
5066,5066,2015-11-15,0.0249999999999999,950.4083333333332,950.85,950.0416666666666,-3895.504166666667,26.55,20.758333333333333,27.4875,25.85,21.27916666666667,20.316666666666663,74.66666666666667,67.58333333333333,71.375,69.0,4.675,1.9041666666666668
5067,5067,2015-11-16,0.0,948.6958333333332,948.9625,948.5125,-3637.475,26.67083333333333,20.070833333333333,27.245833333333334,25.929166666666664,20.604166666666668,19.579166666666666,72.54166666666667,66.45833333333333,69.25,125.625,6.083333333333333,2.858333333333333
5068,5068,2015-11-17,0.0,947.5791666666668,947.9041666666668,947.2708333333334,-3497.2625000000003,27.379166666666663,20.120833333333334,28.0375,26.7625,20.633333333333333,19.625,68.45833333333333,62.54166666666666,65.54166666666667,52.04166666666666,8.275,3.920833333333333
5069,5069,2015-11-18,0.0083333333333333,947.2916666666666,947.6291666666666,946.9,-3766.3416666666662,25.60833333333333,19.758333333333333,26.475,25.008333333333336,20.33333333333333,19.416666666666668,73.625,67.70833333333333,70.83333333333333,111.45833333333331,8.329166666666667,3.975
5070,5070,2015-11-19,0.0,945.9416666666666,946.2708333333334,945.7916666666666,-3611.758333333333,27.104166666666668,19.008333333333333,27.525,26.504166666666663,19.4625,18.679166666666667,64.95833333333333,61.04166666666666,62.458333333333336,84.0,8.741666666666667,4.025
5071,5071,2015-11-20,1.4249999999999998,947.3958333333334,947.6958333333332,946.8833333333332,-3568.708333333333,23.15,19.354166666666668,23.72083333333333,22.9375,19.72083333333333,18.979166666666668,81.45833333333333,77.91666666666667,80.54166666666667,63.5,7.691666666666666,3.6208333333333336
5072,5072,2015-11-21,0.0,950.4291666666668,950.6666666666666,950.2333333333332,-3653.9833333333336,21.8625,17.391666666666666,22.141666666666666,21.441666666666663,17.679166666666667,16.9375,78.41666666666667,74.08333333333333,76.20833333333333,97.70833333333331,6.179166666666667,3.216666666666667
5073,5073,2015-11-22,0.0,950.2416666666668,950.5166666666668,949.9958333333334,-3167.9541666666664,26.566666666666663,20.34583333333333,27.09166666666667,25.89583333333333,20.945833333333333,19.95,73.70833333333333,68.04166666666667,70.25,199.75,5.058333333333334,2.4375
5074,5074,2015-11-23,0.0,947.8833333333332,948.2208333333332,947.6625,-3211.7375,28.0,20.879166666666663,28.625,27.21666666666667,21.47083333333333,20.2875,70.375,63.625,66.95833333333333,152.125,4.7250000000000005,2.191666666666667
5075,5075,2015-11-24,0.0,945.7083333333334,946.0833333333334,945.3375,-3446.241666666667,27.925,21.933333333333334,28.45833333333333,27.4375,22.229166666666668,21.616666666666664,72.83333333333333,67.95833333333333,70.5,58.66666666666666,6.454166666666667,2.9416666666666664
5076,5076,2015-11-25,0.475,948.5833333333334,948.9125,948.0916666666668,-3569.4208333333336,25.070833333333336,20.20833333333333,25.89583333333333,24.52083333333333,20.775,19.816666666666663,76.95833333333333,71.54166666666667,74.79166666666667,43.625,9.775,4.758333333333334
5077,5077,2015-11-26,0.0,950.7375,951.1875,950.3416666666668,-3753.0791666666655,24.6625,17.929166666666667,25.325,23.879166666666663,18.525,17.333333333333332,71.125,63.29166666666666,66.95833333333333,88.0,5.0125,2.025
5078,5078,2015-11-27,0.0,949.4708333333332,949.8375,949.2708333333334,-3037.2625000000003,27.7875,19.279166666666665,28.27916666666667,27.1375,19.775,18.75,64.33333333333333,59.208333333333336,61.66666666666666,73.625,6.758333333333333,3.5
5079,5079,2015-11-28,0.6583333333333333,949.1166666666668,949.5083333333332,948.65,-4090.9166666666665,25.004166666666663,20.175,25.85833333333333,24.29583333333333,20.604166666666668,19.766666666666666,78.125,71.875,75.41666666666667,57.458333333333336,7.479166666666667,3.6916666666666655
5080,5080,2015-11-29,0.0,951.9375,952.1541666666668,951.6,-3505.425,23.45,20.133333333333333,23.991666666666664,22.883333333333336,20.58333333333333,19.741666666666667,85.25,79.875,82.45833333333333,227.04166666666663,4.541666666666667,1.7708333333333333
5081,5081,2015-11-30,0.2333333333333333,953.7041666666668,953.9791666666666,953.4208333333332,-3813.525,24.09583333333333,20.53333333333333,24.6,23.691666666666663,20.954166666666666,20.1625,83.25,78.83333333333333,81.16666666666667,199.08333333333331,5.091666666666667,2.1958333333333333
5082,5082,2015-12-01,0.0,953.2958333333332,953.5875,953.05,-3127.2000000000003,27.141666666666666,20.6375,27.7125,26.383333333333336,21.3125,19.941666666666663,74.16666666666667,67.29166666666667,70.41666666666667,121.25,5.2,2.5375
5083,5083,2015-12-02,0.0833333333333333,953.7416666666668,954.1,953.375,-4110.7625,24.34583333333333,20.1625,24.9875,23.891666666666666,20.633333333333333,19.654166666666665,80.5,73.91666666666667,77.875,103.04166666666669,7.137499999999999,3.333333333333333
5084,5084,2015-12-03,0.0,952.3291666666668,952.6625,952.0666666666666,-3713.5458333333336,26.120833333333334,20.08333333333333,26.879166666666663,25.445833333333336,20.7375,19.4,75.08333333333333,67.75,71.41666666666667,130.54166666666666,3.925,1.7791666666666668
5085,5085,2015-12-04,0.2833333333333333,950.9958333333334,951.2666666666668,950.6541666666668,-3072.691666666667,27.133333333333336,19.404166666666665,28.0625,26.4625,20.14583333333333,18.820833333333333,68.125,61.0,64.75,107.125,8.304166666666667,3.970833333333333
